,B,T,dB/dt_1,dT/dt_1,dB/dt_2,dT/dt_2
153,3.591320496939155e-09,204652870.58625737,-2.473781811530363e-08,-573108.2690504193,-1.881703301957063e-08,-573028.0376382133
154,2.1268890900328765e-09,204595575.8041373,-1.4644314069062786e-08,-572947.821200788,-1.1140362760374828e-08,-572867.6122496262
155,1.2598247852193034e-09,204538297.06231037,-8.67064304813573e-09,-572787.418269217,-6.596630178272042e-09,-572707.2317733094
156,7.46362923886457e-10,204481034.35628596,-5.134618613328463e-09,-572627.0602440834,-3.906785248946728e-09,-572546.8961969139
157,4.4224664832627775e-10,204423787.68157473,-3.0411627556017923e-09,-572466.7471122742,-2.3141500647165216e-09,-572386.6055080023
158,2.6209190396106764e-10,204366557.03368855,-1.801547443652101e-09,-572306.4788618684,-1.3710018876028656e-09,-572226.359694087
159,1.5535212682038283e-10,204309342.4081405,-1.0673977714068482e-09,-572146.2554803491,-8.123798120330093e-10,-572066.1587426505
160,9.20990863390594e-11,204252143.80044502,-6.325304048132343e-10,-571986.0769549012,-4.814538970993014e-10,-571906.0026411614
161,5.460946736486733e-11,204194961.2061177,-3.7489618974192063e-10,-571825.9432733059,-2.853808214732944e-10,-571745.8913770793
162,3.238583052385865e-11,204137794.62067544,-2.2223636841008675e-10,-571665.8544224501,-1.6918791313151095e-10,-571585.8249378614
163,1.9209523655775377e-11,204080644.03963637,-1.3176306868083275e-10,-571505.8103907108,-1.0032018749076022e-10,-571425.8033109641
164,1.1396003926905063e-11,204023509.4585199,-7.813519728870313e-11,-571345.8111646771,-5.949517791489279e-11,-571265.8264838452
165,6.761810597018284e-12,203966390.8728467,-4.634193329886779e-11,-571185.85673213,-3.528983355987119e-11,-571105.8944439646
166,4.012802721310547e-12,203909288.27813864,-2.7490078757077372e-11,-571025.9470805526,-2.0935909957910852e-11,-570946.0071787845
167,2.3818093307772026e-12,203852201.66991886,-1.6309933905333438e-11,-570866.0821977258,-1.2422483883407182e-11,-570786.1646757706
168,1.4139710892690054e-12,203795131.0437118,-9.678382415081972e-12,-570706.2620705366,-7.372238722545802e-12,-570626.3669223918
169,8.395535473221074e-13,203738076.39504313,-5.74417541946898e-12,-570546.4866867661,-4.375872550271332e-12,-570466.61390612
170,4.985751001062577e-13,203681037.71943974,-3.4097844721584975e-12,-570386.7560338974,-2.5977912230258514e-12,-570306.9056144308
171,2.9613317397440144e-13,203624015.01242983,-2.024419261318562e-12,-570227.0700991154,-1.542474919314299e-12,-570147.2420348033
172,1.7592105027468235e-13,203567008.2695428,-1.202121236997191e-12,-570067.4288702011,-9.160227116343734e-13,-569987.6231547197
173,1.0452563329119183e-13,203510017.48630932,-7.139541698349051e-13,-569907.8323349357,-5.440873338036675e-13,-569828.048961666
174,6.21157932409141e-14,203453042.65826133,-4.2409840050277724e-13,-569748.280479908,-3.232252000430404e-13,-569668.5194431318
175,3.691947128585409e-14,203396083.78093198,-2.519632195506001e-13,-569588.7732934952,-1.9205075208689e-13,-569509.0345866096
176,2.1947400996183164e-14,203339140.8498557,-1.4972070289670923e-13,-569429.3107628822,-1.1413030897696968e-13,-569349.594379596
177,1.3049230179495951e-14,203282213.86056817,-8.898170816687213e-14,-569269.8928752542,-6.783598484037592e-14,-569190.1988095909
178,7.759984109789162e-15,203225302.8086063,-5.2892460697067884e-14,-569110.51961869,-4.0326767916246024e-14,-569030.8478640977
179,4.615416498413822e-15,203168407.6895083,-3.1445676113753405e-14,-568951.1909800768,-2.3977329775626218e-14,-568871.5415306232
180,2.745586114525024e-15,203111528.49881354,-1.8698303838887975e-14,-568791.9069474936,-1.4258778267316363e-14,-568712.2797966779
181,1.633553363003134e-15,203054665.23206273,-1.11203275152189e-14,-568632.6675081253,-8.480820911196526e-15,-568553.0626497756
182,9.720881439536659e-16,202997817.88479778,-6.614652190494681e-15,-568473.4726494551,-5.045073830870021e-15,-568393.8900774338
183,5.785648029678221e-16,202940986.45256186,-3.935233409858437e-15,-568314.3223592639,-3.001727032559617e-15,-568234.7620671731
184,3.444073378092821e-16,202884170.93089935,-2.3415746515854004e-15,-568155.2166250348,-1.7862773117902776e-15,-568075.6786065182
185,2.0505330976900594e-16,202827371.31535596,-1.3935402804027613e-15,-567996.1554339528,-1.0631647352067208e-15,-567916.6396829967
186,1.2210547927841979e-16,202770587.60147858,-8.294783049058615e-16,-567837.138773799,-6.328870621287825e-16,-567757.64528414
187,7.272395376758911e-17,202713819.78481537,-4.938152551083067e-16,-567678.1666320562,-3.7681295535163885e-16,-567598.6953974831
188,4.332052899632865e-17,202657067.86091575,-2.940342477126046e-16,-567519.2389962077,-2.2438786544069653e-16,-567439.7900105641
189,2.5809758418861156e-17,202600331.82533035,-1.7510770577467494e-16,-567360.3558540344,-1.3364318602281147e-16,-567280.929110925
190,1.5379705741895868e-17,202543611.67361107,-1.0430052676965287e-16,-567201.5171927214,-7.961009925552261e-17,-567122.112686111
191,9.1661295418909e-18,202486907.40131104,-6.213576200004967e-17,-567042.7230003476,-4.7431120125616703e-17,-566963.3407236709
192,5.46383797459887e-18,202430219.00398466,-3.70229156729203e-17,-566883.9732638001,-2.826392335687113e-17,-566804.613211157
193,3.2574928430912193e-18,202373546.47718754,-2.2063451315076506e-17,-566725.267971158,-1.68451678196307e-17,-566645.9301361251
194,1.942419118344885e-18,202316889.81647658,-1.3150737247463342e-17,-566566.6071096063,-1.0041348635797594e-17,-566487.2914861344
195,1.158447116489113e-18,202260249.0174099,-7.83972001855772e-18,-566407.9906669259,-5.98663166279745e-18,-566328.6972487477
196,6.910082878961769e-19,202203624.07554683,-4.674388285929361e-18,-566249.4186306,-3.569823943258814e-18,-566170.1474115311
197,4.122532172421268e-19,202147014.986448,-2.787550706540501e-18,-566090.8909884095,-2.1290448230037536e-18,-566011.6419620544
198,2.45990640964047e-19,202090421.74567524,-1.6626257627807976e-18,-565932.4077275395,-1.2699789944697548e-18,-565853.1808878906
199,1.468070214057687e-19,202033844.34879166,-9.918361955827832e-19,-565773.9688357711,-7.57673288094892e-19,-565694.7641766167
200,8.762918296504993e-20,201977282.79136157,-5.917783844071876e-19,-565615.5743008852,-4.521068633866907e-19,-565536.3918158124
201,5.231477586914497e-20,201920737.06895056,-3.5314407095904955e-19,-565457.2241100669,-2.6981984481061053e-19,-565378.0637930615
202,3.1237309916481435e-20,201864207.17712545,-2.1077465952663533e-19,-565298.9182510972,-1.610572650942672e-19,-565219.7800959513
203,1.8655054148794382e-20,201807693.11145428,-1.2582255767687053e-19,-565140.6567117572,-9.61524545452088e-20,-565061.5407120719
204,1.1142766020793823e-20,201751194.86750636,-7.512288128000559e-20,-564982.4394792318,-5.741350134601165e-20,-564903.3456290178
205,6.656763035132459e-21,201694712.4408522,-4.4860029856613643e-20,-564824.2665416002,-3.4287930453118857e-20,-564745.1948343861
206,3.9774685288509936e-21,201638245.8270636,-2.6792945062814654e-20,-564666.1378860474,-2.0480571633730072e-20,-564587.0883157781
207,2.376971390648269e-21,201581795.02171358,-1.6004971382027244e-20,-564508.0535000563,-1.2235350537680663e-20,-564429.0260607981
208,1.4207402502282843e-21,201525360.0203764,-9.562311404199846e-21,-564350.013371706,-7.310789487475383e-21,-564271.0080570539
209,8.493348040388302e-22,201468940.81862757,-5.714054461894541e-21,-564192.0174884796,-4.369036177468044e-21,-564113.0342921572
210,5.078280010753204e-22,201412537.41204378,-3.415068029635097e-21,-564034.0658378601,-2.611442586996203e-21,-563955.1047537226
211,3.0368814030960193e-22,201356149.79620302,-2.0413986076571847e-21,-563876.1584076285,-1.5611649138666737e-21,-563797.2194293684
212,1.8164040666734018e-22,201299777.96668452,-1.2204773364226174e-21,-563718.2951849699,-9.334488399568096e-22,-563639.3783067167
213,1.0866020587872347e-22,201243421.9190687,-7.29802007886167e-22,-563560.4761582613,-5.582203644330933e-22,-563481.5813733924
214,6.50132662702988e-23,201187081.64893726,-4.364693960842467e-22,-563402.7013143897,-3.338829396383321e-22,-563323.8286170244
215,3.8905126436866154e-23,201130757.15187314,-2.6108139833432643e-22,-563244.9706411362,-1.9973591232690781e-22,-563166.1200252448
216,2.3285471674550145e-23,201074448.42346048,-1.561965476231601e-22,-563087.2841265798,-1.1950647669011334e-22,-563008.4555856894
217,1.3939159590357015e-23,201018155.4592847,-9.346312084193131e-23,-562929.6417579055,-7.151548085386365e-23,-562850.8352859971
218,8.345674902511251e-24,200961878.25493237,-5.593484687845763e-23,-562772.0435231924,-4.280376769915119e-23,-562693.2591138106
219,4.997578647901097e-24,200905616.8059914,-3.3480962546101545e-23,-562614.4894096255,-2.5623427840679683e-23,-562535.7270567759
220,2.9931679934172084e-24,200849371.1080509,-2.004410654483888e-23,-562456.9794049859,-1.5341426078882303e-23,-562378.2391025425
221,1.7929814984119986e-24,200793141.1567012,-1.2001864950052097e-23,-562299.5134970546,-9.186868264489023e-24,-562220.7952387633
222,1.0742213103940698e-24,200736926.94753388,-7.187601880179288e-24,-562142.0916733146,-5.502277361947092e-24,-562063.3954530949
223,6.437021187539911e-25,200680728.47614172,-4.305191916400787e-24,-561984.7139215469,-3.296026396517012e-24,-561906.0397331968
224,3.8578853106570633e-25,200624545.7381188,-2.579135876882847e-24,-561827.3802292347,-1.974749785921868e-24,-561748.7280667326
225,2.3125272818411875e-25,200568378.72906035,-1.5453580288158757e-24,-561670.0905844569,-1.1833320876911165e-24,-561591.460441369
226,1.386428813277473e-25,200512227.4445629,-9.260984685637144e-25,-561512.8449743986,-7.092091954357917e-25,-561434.2368447762
