,Time,Concentration,Bioagent,Type
324,3.24,95743169.47164613,CFU,wt
325,3.25,96163911.92253031,CFU,wt
326,3.2600000000000002,96586365.34083071,CFU,wt
327,3.27,97010535.46988484,CFU,wt
328,3.2800000000000002,97436428.06156468,CFU,wt
329,3.29,97864048.87618475,CFU,wt
330,3.3000000000000003,98293403.68240914,CFU,wt
331,3.31,98724498.25715731,CFU,wt
332,3.3200000000000003,99157338.38550875,CFU,wt
333,3.33,99591929.86060633,CFU,wt
334,3.34,100028278.4835587,CFU,wt
335,3.35,100466390.06334126,CFU,wt
336,3.36,100906270.4166959,CFU,wt
337,3.37,101347925.36802977,CFU,wt
338,3.38,101791360.74931264,CFU,wt
339,3.39,102236582.39997303,CFU,wt
340,3.4,102683596.16679311,CFU,wt
341,3.41,103132407.90380256,CFU,wt
342,3.42,103583023.47217076,CFU,wt
343,3.43,104035448.74009824,CFU,wt
344,3.44,104489689.58270632,CFU,wt
345,3.45,104945751.88192604,CFU,wt
346,3.46,105403641.52638532,CFU,wt
347,3.47,105863364.41129519,CFU,wt
348,3.48,106324926.43833445,CFU,wt
349,3.49,106788333.51553339,CFU,wt
350,3.5,107253591.55715573,CFU,wt
351,3.5100000000000002,107720706.48357975,CFU,wt
352,3.52,108189684.2211777,CFU,wt
353,3.5300000000000002,108660530.70219418,CFU,wt
354,3.54,109133251.86462295,CFU,wt
355,3.5500000000000003,109607853.65208262,CFU,wt
356,3.56,110084342.01369081,CFU,wt
357,3.5700000000000003,110562722.90393718,CFU,wt
358,3.58,111043002.28255479,CFU,wt
359,3.59,111525186.11439048,CFU,wt
360,3.6,112009280.36927357,CFU,wt
361,3.61,112495291.02188331,CFU,wt
362,3.62,112983224.05161503,CFU,wt
363,3.63,113473085.44244471,CFU,wt
364,3.64,113964881.18279238,CFU,wt
365,3.65,114458617.26538388,CFU,wt
366,3.66,114954299.68711151,CFU,wt
367,3.67,115451934.44889294,CFU,wt
368,3.68,115951527.555529,CFU,wt
369,3.69,116453085.01555984,CFU,wt
370,3.7,116956612.8411198,CFU,wt
371,3.71,117462117.0477907,CFU,wt
372,3.72,117969603.65445395,CFU,wt
373,3.73,118479078.68314078,CFU,wt
374,3.74,118990548.15888157,CFU,wt
375,3.75,119504018.1095532,CFU,wt
376,3.7600000000000002,120019494.56572536,CFU,wt
377,3.77,120536983.56050499,CFU,wt
378,3.7800000000000002,121056491.12937975,CFU,wt
379,3.79,121578023.31005941,CFU,wt
380,3.8000000000000003,122101586.14231639,CFU,wt
381,3.81,122627185.66782415,CFU,wt
382,3.8200000000000003,123154827.92999473,CFU,wt
383,3.83,123684518.9738143,CFU,wt
384,3.84,124216264.84567747,CFU,wt
385,3.85,124750071.59322003,CFU,wt
386,3.86,125285945.26515001,CFU,wt
387,3.87,125823891.91107762,CFU,wt
388,3.88,126363917.58134313,CFU,wt
389,3.89,126906028.32684377,CFU,wt
390,3.9,127450230.19885857,CFU,wt
391,3.91,127996529.24887216,CFU,wt
392,3.92,128544931.52839658,CFU,wt
393,3.93,129095443.08879192,CFU,wt
394,3.94,129648069.98108509,CFU,wt
395,3.95,130202818.25578733,CFU,wt
396,3.96,130759693.96270977,CFU,wt
397,3.97,131318703.150778,CFU,wt
398,3.98,131879851.86784436,CFU,wt
399,3.99,132443146.16049936,CFU,wt
400,4.0,133008592.07388094,CFU,wt
401,4.01,133576195.65148255,CFU,wt
402,4.0200000000000005,134145962.93495949,CFU,wt
403,4.03,134717899.96393347,CFU,wt
404,4.04,135292012.77579603,CFU,wt
405,4.05,135868307.40551,CFU,wt
406,4.0600000000000005,136446789.88540956,CFU,wt
407,4.07,137027466.24499822,CFU,wt
408,4.08,137610342.51074615,CFU,wt
409,4.09,138195424.7058849,CFU,wt
